Date,BTC,LTC,NMC,PPC,FTC,XRP,DOGE,VTC,DGB,RDD,DASH,XCP,MONA,GRS,XMR,CLOAK,BCN,NAV,XDN,BTS,VIA,XLM,SYS,EMC,GAME,XVG,BLOCK,XEM,ETH
2016-10-24T22:00:00Z,657.5880126953,3.9044098854,0.2595669925,0.2828679979,0.00774239981547,0.00889080017805,2.1933499374e-4,0.0372414999,3.3526300103e-4,4.600689863e-5,9.4097099304,3.8486199379,0.0311935991,0.00211137998849,6.0900797844,0.0568284988,5.558340126e-5,0.0514083989,2.3899000371e-4,0.00447585992515,0.0340244994,0.00235674995929,0.00891066994518,0.345351994,0.1610440016,2.628969924e-5,0.2671050131,0.00390833010897,11.4139995575
2016-10-25T22:00:00Z,678.3040161133,3.9602899551,0.2576240003,0.2810159922,0.00721631990746,0.00883466005325,2.1608899988e-4,0.0382426009,3.3937199623e-4,4.078209895e-5,9.341629982,3.465749979,0.0309602991,0.00238008005545,6.1749601364,0.0580642,5.49940014e-5,0.0513366014,1.9775700639e-4,0.00442112982273,0.0281265005,0.00233796006069,0.00862719956785,0.281863004,0.1704690009,2.218779991e-5,0.2738179862,0.003810379887,11.531999588
2016-10-26T22:00:00Z,688.3129882813,4.0215001106,0.2563430071,0.2827309966,0.00818832032382,0.00848057027906,2.1705900144e-4,0.0372831002,3.3100700239e-4,4.421779886e-5,9.7091598511,3.7728600502,0.0300671998,0.00228450004943,6.2143797874,0.0525996983,5.54301987e-5,0.0484936982,2.0994100487e-4,0.0043027899228,0.0296152998,0.00217639002949,0.00830178987235,0.2774699926,0.1667820066,2.071900053e-5,0.2409639955,0.00393619015813,11.4996995926
2016-10-27T22:00:00Z,689.6510009766,3.9732201099,0.2489549965,0.2782680094,0.00884286966175,0.00814314000309,2.1613499848e-4,0.0358378999,3.1730398769e-4,4.16180992e-5,9.0684604645,3.5361800194,0.0297688991,0.00164856994525,5.72645998,0.0509576015,5.540510028e-5,0.0508547984,2.3357299506e-4,0.00412645982578,0.0277654007,0.00209462991916,0.00784796010703,0.2725430131,0.161669001,2.068600043e-5,0.2559620142,0.00374324992299,11.085100174
2016-10-28T22:00:00Z,714.4790039063,4.0903100967,0.252918005,0.2663879991,0.00900372024626,0.00773232011124,2.2291799542e-4,0.031622,3.1192798633e-4,3.740530155e-5,8.6082897186,3.1458599567,0.0286666993,0.00168654997833,5.14372015,0.0627899989,5.739739936e-5,0.0513558015,1.8444799935e-4,0.00406211987138,0.0285050999,0.00195708009414,0.00807121954858,0.2655099928,0.1459749937,2.296549974e-5,0.2207680047,0.00349592999555,10.4446001053
2016-10-29T22:00:00Z,701.8640136719,4.0340099335,0.2471559942,0.2665320039,0.00874766986817,0.00801431015134,2.2349199571e-4,0.0348426998,3.3757899655e-4,4.142390026e-5,9.6673002243,3.0939099789,0.0288046002,0.00214108009823,5.5734100342,0.0536640994,5.640579911e-5,0.0546611995,2.0349500119e-4,0.00423880014569,0.0287183002,0.00212744995952,0.00821140967309,0.2576049864,0.1652429998,2.105579915e-5,0.2139669955,0.00371239008382,11.182800293
2016-10-30T23:00:00Z,700.9719848633,3.9939599037,0.233284995,0.2566649914,0.00784515030682,0.00819594971836,2.2026100487e-4,0.032365799,3.2358799945e-4,4.040230124e-5,9.2018203735,2.8924400806,0.0294684004,0.00203475006856,5.1195502281,0.0660118982,5.634659829e-5,0.0555250011,1.8856600218e-4,0.00417257007211,0.0255935006,0.00208816002123,0.00831821002066,0.2522349954,0.1809370071,2.520019916e-5,0.2184740007,0.00362876988947,10.9982004166
2016-10-31T23:00:00Z,729.7930297852,4.088329792,0.2290209979,0.2524420023,0.00794583000243,0.00810233037919,2.20988004e-4,0.0310242996,3.1370000215e-4,3.669779835e-5,9.0354204178,2.8172800541,0.0295714997,0.00243298010901,4.7130899429,0.0684064031,5.845809937e-5,0.0466017015,1.7994199879e-4,0.00410322006792,0.0227796994,0.00197642995045,0.00840152986348,0.2609350085,0.1834319979,2.188779945e-5,0.2222139984,0.00382821005769,10.7660999298
2016-11-01T23:00:00Z,740.8289794922,4.1044998169,0.2266429961,0.2583569884,0.0078485198319,0.00822232011706,2.2011100373e-4,0.0300175007,3.2533300691e-4,4.442049976e-5,8.9369001389,2.7209599018,0.0299530998,0.00236483011395,4.5065999031,0.0758903027,5.915059955e-5,0.0446987003,1.7746300728e-4,0.00425902986899,0.0191814993,0.0020231900271,0.0083319498226,0.2500280142,0.190948993,2.603299981e-5,0.224564001,0.00374881993048,10.7525997162
2016-11-02T23:00:00Z,688.700012207,3.8613300323,0.2417739928,0.2511790097,0.00718929991126,0.00802110042423,2.1718400239e-4,0.0308088996,3.2203001319e-4,4.132690083e-5,9.1158103943,2.8885600567,0.0302598998,0.00201632990502,4.8899002075,0.0637916997,5.426679854e-5,0.0414106995,1.7953000497e-4,0.00422893976793,0.0206367001,0.00199446990155,0.00840819999576,0.2380730063,0.1858340055,2.072770076e-5,0.2178200036,0.00366402999498,10.8009996414
